Loop Number,Length (px)
0,136.2416642992997
1,193.21137459316185
2,175.18470189331214
3,213.39701071103698
4,81.40370059597001
5,89.04361424905471
6,76.9150902667112
7,85.0514402787381
8,98.35132470597122
9,181.14630475611227
10,79.66580049829597
11,123.81408241821791
12,258.8770675035732
13,151.8932198903507
14,92.14176059496565
15,113.19092203285649
16,76.99025499634675
18,269.08589066957916
19,62.82892415543799
20,118.00444635061788
21,150.90743557932925
22,171.80391999797837
23,186.22715421800748
24,179.36596673942967
26,50.0307075479125
27,85.6604632550436
28,106.83479926509133
29,75.16864977575781
30,126.02649410629618
31,104.297219254496
32,100.86795074033083
33,45.949210125745935
34,84.27476993042787
35,68.70383193586967
36,87.56719024683512
38,131.35412036142512
39,118.47999904192619
40,192.96979207423684
41,192.37107331728973
42,292.0924688429546
44,73.40842163240995
45,70.18240257284066
46,164.64755829892974
47,159.93052165763578
48,123.62884975246153
50,125.37788555812344
51,91.2307563303039
52,107.75248002179367
53,141.2972210084327
54,174.44183644043704
55,217.17480404632647
56,199.59035698394024
57,118.93655666477085
58,117.12230111349822
59,125.80545608509559
60,66.15500360824056
61,51.275972654681084
62,70.19638827541812
63,64.38398007778736
64,106.17880429444718
65,89.60786916942355
66,72.84227096526965
69,96.62596005906346
70,103.58295447731709
71,95.46306805030173
72,126.3236294920292
73,132.3999885695896
74,133.62430722428928
75,61.37543119290983
76,66.89655744414607
77,66.04278665145165
78,88.59858025444905
79,79.7206640918191
80,22.781892500364656
81,40.61426412006428
82,78.66147883016268
83,71.45547177950726
84,51.41157281268926
86,197.9393101914908
87,0
89,123.82541056235189
90,58.557443786782954
91,63.70108733541812
92,70.7304066025285
93,76.69486860919314
94,104.59409186718929
95,93.47149701694556
96,72.26985961187606
97,110.02071062362916
98,75.5812456556008
101,162.43626027563482
102,108.66638956556295
103,82.85001031337815
104,93.18378490801301
105,55.80855132771269
106,98.42925461853233
107,66.08570420762479
109,123.35523098837169
110,166.38526548941624
111,34.718399343932695
112,152.71096622211388
113,131.260301094639
114,99.68655845686212
115,103.94686769582897
116,55.76670910213617
117,90.37746543485582
118,109.61647969711244
119,72.8096395990167
120,94.44571500318446
121,101.05722716232312
122,59.518534255217915
123,95.89537709756597
124,35.34107052521
125,36.41513566201384
126,29.09142444400339
127,71.67836510468464
128,75.02885078726302
129,74.58935334049325
130,113.59533355487099
131,84.62827517131359
132,98.52484641476966
133,75.59768226537257
134,68.82416368592364
135,32.910078106683244
136,112.87020378395941
137,52.175713964034856
138,48.8582962519
139,50.88493506012611
140,38.186123960643414
141,106.89473989234291
142,79.61406347940542
143,21.083628851750554
144,88.32096391451122
145,54.51642343166729
146,119.84855673273579
147,89.01842941841055
148,72.81544088843913
149,79.43061462157276
150,71.51913967170637
151,41.993396286264485
152,92.82161492320333
153,74.85135018599915
154,109.34223526250312
155,81.88773752487889
156,50.516865271206484
157,82.1229778290156
158,59.255943884759205
159,52.81400878449847
160,137.40255368660982
161,83.2810888915324
162,71.95576564542631
163,89.7204975819726
164,39.9782645174882
165,50.93391978357477
166,216.70469414294314
167,118.82754448709548
168,45.28817306929537
169,54.66815339906353
170,81.77422263315466
171,86.38776054388376
172,130.88790473949817
173,30.11223260156774
174,43.4285703709046
175,110.65471740437616
176,100.15699755324232
177,18.988495410789145
178,125.07198396939069
179,100.5367881047098
180,84.3923121860935
181,72.1647214575222
182,89.22937508490027
183,71.83821150718119
184,193.9959805734289
185,107.67664935320906
186,125.20469076836125
187,49.88984987158697
188,132.1679921466523
189,96.11262417692363
190,117.3398505269816
191,104.65293737458347
192,147.8374359949517
193,82.36585461884651
194,211.94759831362524
195,94.57278034612143
196,158.60397908822515
197,83.16198106476914
198,100.37414962495579
199,108.67021222391642
200,114.00052823619356
201,87.75064534931172
202,106.91067836649059
203,101.13912173056208
204,64.2378721488195
205,132.30224139826265
206,90.45660653185617
207,58.48668439042325
208,112.0717712487396
209,127.25287732545607
210,197.09230573158555
211,72.95108963867013
212,86.78518004577654
213,194.10540024419544
214,131.46707859396108
215,169.37658654716185
216,137.1613011694493
217,67.70417704663028
218,48.86265565945966
219,42.99509876278955
220,44.75992692951692
221,53.70242215622474
222,102.16189267752563
223,59.57306719401559
224,170.8175003703114
225,113.95343886056574
226,190.93703171214474
227,177.01283906566184
228,279.6859537748361
229,185.19723547997663
230,27.172908790433418
231,79.00089881554531
232,49.35468907737615
233,95.70562639288548
234,73.58047388914841
235,121.44867322581857
237,92.9297507677442
238,136.61447912979423
239,72.84265013808924
240,136.55792362776816
241,125.71380214578947
242,102.03944538114706
243,90.74363149245329
246,97.11142980243145
247,92.7174371286485
248,63.70000755325748
249,133.6625344936188
250,130.33736373648938
251,89.59689000981282
252,123.68995306677225
253,88.98187822100931
254,85.45216576927703
255,186.31714838628352
